app_id,model,us_id,scenario_id,scenario_text,feature_name,scenario_name,scenario_examples,us_text
g04-recycling,google-gemini-2.0-flash-001,3,google-gemini-2.0-flash-001_3_5,"Given I am on the recycling facility search page When I enter ""90210"" in the zip code field And I click the ""Search"" button Then I should see a list of recycling facilities When I click on the first facility in the list Then I should be redirected to the facility details page And I should see the facility name, address, and contact information",Find Recycling Facilities by Zip Code,Display facility details when clicking on a facility in the list,,"As a user, I want to be able to enter my zip code and get a list of nearby recycling facilities, so that I can determine which ones I should consider."
g04-recycling,google-gemini-2.0-flash-001,4,google-gemini-2.0-flash-001_4_1,"Given I am on the details page for recycling facility ""EcoRecycle Center"" Then I should see a section displaying ""Hours of Operation"" And I should see the hours for Monday as ""9:00 AM - 5:00 PM"" And I should see the hours for Tuesday as ""9:00 AM - 5:00 PM"" And I should see the hours for Wednesday as ""9:00 AM - 5:00 PM"" And I should see the hours for Thursday as ""9:00 AM - 5:00 PM"" And I should see the hours for Friday as ""9:00 AM - 5:00 PM"" And I should see the hours for Saturday as ""10:00 AM - 2:00 PM"" And I should see the hours for Sunday as ""Closed""",Recycling Facility Hours,View recycling facility hours on a facility details page,,"As a user, I want to be able to get the hours of each recycling facility, so that I can arrange drop-offs on my off days or during after-work hours."
g04-recycling,google-gemini-2.0-flash-001,4,google-gemini-2.0-flash-001_4_2,"Given I am on the details page for recycling facility ""Green Solutions Depot"" Then I should see a section displaying ""Hours of Operation"" And I should see the hours for Sunday as ""Closed""",Recycling Facility Hours,View recycling facility hours when a facility is closed on a particular day,,"As a user, I want to be able to get the hours of each recycling facility, so that I can arrange drop-offs on my off days or during after-work hours."
g04-recycling,google-gemini-2.0-flash-001,4,google-gemini-2.0-flash-001_4_3,"Given I am on the details page for recycling facility ""Sustainable Recycling Inc."" Then I should see a section displaying ""Hours of Operation"" And the hours displayed should be in the ""Eastern Time"" time zone",Recycling Facility Hours,Verify that facility hours are displayed in the correct time zone,,"As a user, I want to be able to get the hours of each recycling facility, so that I can arrange drop-offs on my off days or during after-work hours."
g04-recycling,google-gemini-2.0-flash-001,4,google-gemini-2.0-flash-001_4_4,"Given I am on the details page for recycling facility ""Unknown Recycling"" Then I should see a section displaying ""Hours of Operation"" And I should see a message indicating ""Hours of operation are currently unavailable. Please contact the facility directly.""",Recycling Facility Hours,Handle cases when facility hours are not available.,,"As a user, I want to be able to get the hours of each recycling facility, so that I can arrange drop-offs on my off days or during after-work hours."
g04-recycling,google-gemini-2.0-flash-001,4,google-gemini-2.0-flash-001_4_5,"Given I am on the details page for recycling facility ""Community Recycling Hub"" When today is ""Thanksgiving"" Then I should see the ""Holiday Hours"" section displaying ""Closed"" When today is not a holiday Then I should see the hours for Monday as ""8:00 AM - 6:00 PM""",Recycling Facility Hours,Facility has different operating hours on holidays,,"As a user, I want to be able to get the hours of each recycling facility, so that I can arrange drop-offs on my off days or during after-work hours."
g04-recycling,google-gemini-2.0-flash-001,5,google-gemini-2.0-flash-001_5_1,"Given I am on the order placement page When I select ""Soonest Available"" as the pickup time Then the system should automatically select the earliest available pickup time And I should see a confirmation message with the scheduled pickup time",Flexible Pickup Time,Schedule a pickup for the soonest available time,,"As a user, I want to have a flexible pick up time, so that I can more conveniently use the website."
g04-recycling,google-gemini-2.0-flash-001,5,google-gemini-2.0-flash-001_5_2,"Given I am on the order placement page When I select a specific date and time for pickup, such as ""2024-03-15 14:00"" Then the system should schedule the pickup for the selected date and time And I should see a confirmation message with the scheduled pickup time as ""2024-03-15 14:00""",Flexible Pickup Time,Schedule a pickup for a specific date and time in the future,,"As a user, I want to have a flexible pick up time, so that I can more conveniently use the website."
g04-recycling,google-gemini-2.0-flash-001,5,google-gemini-2.0-flash-001_5_3,"Given I am on the order placement page When I select a past date and time for pickup, such as ""Yesterday 10:00"" Then the system should display an error message indicating that the selected time is in the past And the pickup time selection should remain unchanged",Flexible Pickup Time,Attempt to schedule a pickup for a past date and time,,"As a user, I want to have a flexible pick up time, so that I can more conveniently use the website."
g04-recycling,google-gemini-2.0-flash-001,5,google-gemini-2.0-flash-001_5_4,"Given I am on the order placement page When I select a date and time outside the available pickup hours, such as ""2024-03-16 02:00"" Then the system should display an error message indicating that the selected time is outside of service hours And the pickup time selection should remain unchanged",Flexible Pickup Time,Attempt to schedule a pickup outside of available hours,,"As a user, I want to have a flexible pick up time, so that I can more conveniently use the website."
g04-recycling,google-gemini-2.0-flash-001,5,google-gemini-2.0-flash-001_5_5,Given I am on the order placement page When I select a specific date and time for pickup 30 minutes from now Then the system should schedule the pickup for the selected date and time And I should see a confirmation message with the scheduled pickup time,Flexible Pickup Time,Schedule a pickup for a specific time with a reasonable delay,,"As a user, I want to have a flexible pick up time, so that I can more conveniently use the website."
g04-recycling,google-gemini-2.0-flash-001,6,google-gemini-2.0-flash-001_6_1,"Given I am on the recycling facility search page When I select ""Plastic Bottles"" as the waste type Then I should see a list of recycling facilities that accept ""Plastic Bottles"" And each facility should display its opening hours",Find Recycling Facilities by Waste Type and Schedule,User selects a single waste type and views facilities with opening hours,,"As a user, I want to be able to select different types of recyclable waste, so I have and get a list of facilities that accept each type and their opening hours, so that I can find an optimal route and schedule."
g04-recycling,google-gemini-2.0-flash-001,6,google-gemini-2.0-flash-001_6_2,"Given I am on the recycling facility search page When I select ""Cardboard"" and ""Aluminum Cans"" as waste types Then I should see a list of recycling facilities that accept both ""Cardboard"" and ""Aluminum Cans"" And each facility should display its opening hours",Find Recycling Facilities by Waste Type and Schedule,User selects multiple waste types and views facilities accepting all selected types,,"As a user, I want to be able to select different types of recyclable waste, so I have and get a list of facilities that accept each type and their opening hours, so that I can find an optimal route and schedule."
g04-recycling,google-gemini-2.0-flash-001,6,google-gemini-2.0-flash-001_6_3,"Given I am on the recycling facility search page When I select ""Polystyrene Foam"" as the waste type Then I should see a message indicating that no facilities accept ""Polystyrene Foam"" in my area",Find Recycling Facilities by Waste Type and Schedule,No facilities found for selected waste type,,"As a user, I want to be able to select different types of recyclable waste, so I have and get a list of facilities that accept each type and their opening hours, so that I can find an optimal route and schedule."
g04-recycling,google-gemini-2.0-flash-001,6,google-gemini-2.0-flash-001_6_4,"Given I am on the recycling facility search page And I have selected ""Glass Bottles"" as the waste type When I filter facilities to only show those open on ""Saturday"" Then I should see a list of recycling facilities that accept ""Glass Bottles"" and are open on ""Saturday"" And each facility should display its opening hours for ""Saturday""",Find Recycling Facilities by Waste Type and Schedule,User filters facilities by opening hours on a specific day,,"As a user, I want to be able to select different types of recyclable waste, so I have and get a list of facilities that accept each type and their opening hours, so that I can find an optimal route and schedule."
g04-recycling,google-gemini-2.0-flash-001,6,google-gemini-2.0-flash-001_6_5,"Given I am on the recycling facility search page When I select ""Paper"" as the waste type Then I should see a map displaying the locations of facilities that accept ""Paper"" And each facility marker should indicate its name and opening hours when clicked",Find Recycling Facilities by Waste Type and Schedule,User selects a waste type and views a map with facility locations,,"As a user, I want to be able to select different types of recyclable waste, so I have and get a list of facilities that accept each type and their opening hours, so that I can find an optimal route and schedule."
g04-recycling,google-gemini-2.0-flash-001,7,google-gemini-2.0-flash-001_7_1,"Given I am a logged-in user And I am on the donation center details page for ""Red Cross - Main Branch"" When I click the ""Add to Favorites"" button Then I should see a success message ""Donation center added to favorites!"" And ""Red Cross - Main Branch"" should be displayed in my favorites list",Favorite Donation Centers,User successfully adds a donation center to favorites,,"As a user, I want to add donation centers as favorites on my profile, so that I can view them later."
g04-recycling,google-gemini-2.0-flash-001,7,google-gemini-2.0-flash-001_7_2,"Given I am a logged-in user And I am on the donation center details page for ""Salvation Army - Local Branch"" And I have already added ""Salvation Army - Local Branch"" to my favorites When I click the ""Add to Favorites"" button Then I should see an error message ""Donation center is already in your favorites"" And ""Salvation Army - Local Branch"" should only appear once in my favorites list",Favorite Donation Centers,User attempts to add the same donation center to favorites twice,,"As a user, I want to add donation centers as favorites on my profile, so that I can view them later."
g04-recycling,google-gemini-2.0-flash-001,7,google-gemini-2.0-flash-001_7_3,"Given I am a logged-in user And I am on the donation center details page for ""Goodwill - Donation Center"" When I click the ""Add to Favorites"" button And I navigate to the donation center details page for ""Habitat for Humanity ReStore"" And I click the ""Add to Favorites"" button Then I should see ""Goodwill - Donation Center"" and ""Habitat for Humanity ReStore"" in my favorites list",Favorite Donation Centers,User adds multiple donation centers to favorites,,"As a user, I want to add donation centers as favorites on my profile, so that I can view them later."
g04-recycling,google-gemini-2.0-flash-001,7,google-gemini-2.0-flash-001_7_4,"Given I am not a logged-in user And I am on the donation center details page for ""St. Vincent de Paul - Charity Shop"" When I click the ""Add to Favorites"" button Then I should be redirected to the login page And I should see a message ""Please log in to add donation centers to your favorites""",Favorite Donation Centers,User must be logged in to add a donation center to favorites,,"As a user, I want to add donation centers as favorites on my profile, so that I can view them later."
g04-recycling,google-gemini-2.0-flash-001,8,google-gemini-2.0-flash-001_8_1,"Given I am on the event notification subscription page When I enter a valid email address ""test@example.com"" in the email field And I click the ""Subscribe"" button Then I should see a success message ""You have successfully subscribed to event notifications!"" And I should receive a confirmation email at ""test@example.com""",Email Notifications for New Events,Subscribe to email notifications with a valid email address,,"As a user, I want to be able to give my email ID, so that I can receive notifications for new events as they are posted."
g04-recycling,google-gemini-2.0-flash-001,8,google-gemini-2.0-flash-001_8_2,"Given I am on the event notification subscription page When I enter an invalid email address ""invalid-email"" in the email field And I click the ""Subscribe"" button Then I should see an error message ""Please enter a valid email address"" And I should not receive a confirmation email",Email Notifications for New Events,Attempt to subscribe with an invalid email address,,"As a user, I want to be able to give my email ID, so that I can receive notifications for new events as they are posted."
g04-recycling,google-gemini-2.0-flash-001,8,google-gemini-2.0-flash-001_8_3,"Given I am on the event notification subscription page And the email address ""test@example.com"" is already subscribed to notifications When I enter the email address ""test@example.com"" in the email field And I click the ""Subscribe"" button Then I should see a message ""This email address is already subscribed to notifications.""",Email Notifications for New Events,Attempt to subscribe with an already subscribed email address,,"As a user, I want to be able to give my email ID, so that I can receive notifications for new events as they are posted."
g04-recycling,google-gemini-2.0-flash-001,8,google-gemini-2.0-flash-001_8_4,"Given I am a subscribed user with email ""test@example.com"" When a new event ""Upcoming Tech Conference"" is posted Then I should receive an email notification about the ""Upcoming Tech Conference"" at ""test@example.com"" And the email should contain details about the event",Email Notifications for New Events,Verify email notification after a new event is posted,,"As a user, I want to be able to give my email ID, so that I can receive notifications for new events as they are posted."
g04-recycling,google-gemini-2.0-flash-001,9,google-gemini-2.0-flash-001_9_1,Given I am on the recycling bin map page When the map loads Then I should see a map centered around my current location And I should see recycling bin markers within a 5km radius of my location,View Recycling Bin Map,Map displays recycling bins within the user's current location,,"As a user, I want to be able to view a map display of the public recycling bins around my area."
g04-recycling,google-gemini-2.0-flash-001,9,google-gemini-2.0-flash-001_9_2,Given I am on the recycling bin map page When I zoom in on the map Then I should see more recycling bin markers in a smaller area When I zoom out on the map Then I should see fewer recycling bin markers in a larger area,View Recycling Bin Map,User can zoom in and out of the map to see more or fewer bins,,"As a user, I want to be able to view a map display of the public recycling bins around my area."
g04-recycling,google-gemini-2.0-flash-001,9,google-gemini-2.0-flash-001_9_3,"Given I am on the recycling bin map page And I see a recycling bin marker on the map When I click on a recycling bin marker Then I should see a pop-up window And the pop-up window should display the address of the recycling bin And the pop-up window should display the types of materials accepted (e.g., plastic, glass, paper)",View Recycling Bin Map,User can click on a recycling bin marker to see bin details,,"As a user, I want to be able to view a map display of the public recycling bins around my area."
g04-recycling,google-gemini-2.0-flash-001,9,google-gemini-2.0-flash-001_9_4,Given I am on the recycling bin map page And there are no recycling bins within 1km of my current location Then I should see a message indicating no recycling bins were found nearby And the message should suggest expanding the search area,View Recycling Bin Map,No recycling bins are found in the user's immediate area,,"As a user, I want to be able to view a map display of the public recycling bins around my area."
g04-recycling,google-gemini-2.0-flash-001,9,google-gemini-2.0-flash-001_9_5,Given I am on the recycling bin map page When I drag the map to a different location Then the map should display recycling bin markers in the new location,View Recycling Bin Map,User can move the map to view recycling bins in other locations,,"As a user, I want to be able to view a map display of the public recycling bins around my area."
g04-recycling,google-gemini-2.0-flash-001,10,google-gemini-2.0-flash-001_10_1,Given I am on the special waste drop-off site map page When the map is loaded Then I should see a map centered around my current location And I should see markers indicating nearby special waste drop-off sites,Special Waste Drop-off Site Map,User views the map and sees nearby drop-off sites,,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
g04-recycling,google-gemini-2.0-flash-001,10,google-gemini-2.0-flash-001_10_2,Given I am on the special waste drop-off site map page When the map is loaded And I zoom out on the map Then I should see more drop-off site markers as the map area expands,Special Waste Drop-off Site Map,User zooms out and sees more distant drop-off sites,,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
g04-recycling,google-gemini-2.0-flash-001,10,google-gemini-2.0-flash-001_10_3,"Given I am on the special waste drop-off site map page When the map is loaded And I click on a drop-off site marker Then I should see a pop-up window with details about the site And the details should include the site name, address, and accepted materials",Special Waste Drop-off Site Map,User clicks on a drop-off site marker and sees details,,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
g04-recycling,google-gemini-2.0-flash-001,10,google-gemini-2.0-flash-001_10_4,Given I am on the special waste drop-off site map page When I enter a specific address in the search bar And I submit the search Then the map should center on the searched address And I should see markers indicating special waste drop-off sites near that address,Special Waste Drop-off Site Map,User searches for a specific address and sees drop-off sites near that location,,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
g04-recycling,google-gemini-2.0-flash-001,10,google-gemini-2.0-flash-001_10_5,Given I am on the special waste drop-off site map page When the map is loaded in an area with no drop-off sites Then I should see a message indicating no drop-off sites are nearby And I should see a suggestion to zoom out or search in other areas,Special Waste Drop-off Site Map,No drop-off sites are available in the immediate area,,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
g04-recycling,google-gemini-2.0-flash-001,11,google-gemini-2.0-flash-001_11_1,"Given I am on the homepage When I allow the application to access my location Then I should see a list of safe disposal events near my current location And each event should display its name, date, time, and address",View Safe Disposal Events,View events in my current location,,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
g04-recycling,google-gemini-2.0-flash-001,11,google-gemini-2.0-flash-001_11_2,"Given I am viewing the list of safe disposal events When I select ""Electronics"" as the waste type filter Then I should only see events that accept electronics for disposal",View Safe Disposal Events,Filter events by waste type,,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
g04-recycling,google-gemini-2.0-flash-001,11,google-gemini-2.0-flash-001_11_3,Given I am on the homepage When I allow the application to access my location And there are no safe disposal events currently scheduled near my location Then I should see a message indicating that no events were found in my area,View Safe Disposal Events,No events found in my area,,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
g04-recycling,google-gemini-2.0-flash-001,11,google-gemini-2.0-flash-001_11_4,"Given I am viewing the list of safe disposal events When I click on an event Then I should be taken to the event details page And I should see the event's full description, accepted waste types, and organizer contact information",View Safe Disposal Events,View event details,,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
g04-recycling,google-gemini-2.0-flash-001,11,google-gemini-2.0-flash-001_11_5,"Given I am on the homepage When I enter an address into the search bar And I click the ""Search"" button Then I should see a list of safe disposal events near the entered address",View Safe Disposal Events,Search for events by address,,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
g04-recycling,google-gemini-2.0-flash-001,12,google-gemini-2.0-flash-001_12_1,"Given I am on the order placement page When I select a pickup date of ""Tomorrow"" And I select a pickup time of ""10:30 AM"" Then the system should confirm the selected pickup time is valid And the pickup time should be displayed in the order summary",Flexible Pickup Time Selection,Selecting a pickup time within the available range,,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website."
g04-recycling,google-gemini-2.0-flash-001,12,google-gemini-2.0-flash-001_12_2,"Given I am on the order placement page When I select a pickup date of ""Today"" And I select a pickup time of ""8:00 AM"" which is before the opening time Then the system should display an error message ""Pickup time is outside the available range"" And I should be prompted to select a different time",Flexible Pickup Time Selection,Selecting a pickup time outside the available range,,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website."
g04-recycling,google-gemini-2.0-flash-001,12,google-gemini-2.0-flash-001_12_3,"Given I am on the order placement page When I select a pickup date of ""Sunday"" which is a closed day Then the system should display an error message ""Pickup is not available on this day"" And I should be prompted to select a different date",Flexible Pickup Time Selection,Selecting a pickup time on a closed day,,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website."
g04-recycling,google-gemini-2.0-flash-001,12,google-gemini-2.0-flash-001_12_4,"Given I am on the order placement page And I have already selected a pickup time of ""11:00 AM"" for ""Tomorrow"" When I change the pickup time to ""1:00 PM"" Then the system should update the pickup time in the order summary to ""1:00 PM"" for ""Tomorrow""",Flexible Pickup Time Selection,Changing the pickup time after initial selection,,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website."
g04-recycling,google-gemini-2.0-flash-001,13,google-gemini-2.0-flash-001_13_1,"Given I am on the homepage When I click on the ""Help"" link in the navigation bar Then I should be redirected to the documentation page And I should see the documentation title ""User Guide""",User Documentation,Accessing the User Documentation from the Homepage,,"As a user, I want to view user documentation for the website, so that I know how to use the web app."
g04-recycling,google-gemini-2.0-flash-001,13,google-gemini-2.0-flash-001_13_2,"Given I am on the documentation page When I enter ""account settings"" in the search bar And I press Enter Then I should see search results related to ""account settings"" And the first result should contain the phrase ""managing your account""",User Documentation,Searching for a specific topic in the Documentation,,"As a user, I want to view user documentation for the website, so that I know how to use the web app."
g04-recycling,google-gemini-2.0-flash-001,13,google-gemini-2.0-flash-001_13_3,"Given I am on the documentation page When I click on the ""Getting Started"" section Then I should see the content for the ""Getting Started"" section And I should see a heading that says ""Welcome to the Application""",User Documentation,Navigating through documentation sections,,"As a user, I want to view user documentation for the website, so that I know how to use the web app."
g04-recycling,google-gemini-2.0-flash-001,13,google-gemini-2.0-flash-001_13_4,"Given I am on the homepage When I scroll to the bottom of the page And I click on the ""Documentation"" link in the footer Then I should be redirected to the documentation page",User Documentation,Documentation Link from Footer,,"As a user, I want to view user documentation for the website, so that I know how to use the web app."
g04-recycling,google-gemini-2.0-flash-001,13,google-gemini-2.0-flash-001_13_5,"Given I am on the documentation page When I navigate to the section ""Creating a New Project"" Then I should see the instruction ""Click the 'New Project' button""",User Documentation,Verifying a specific instruction on the documentation page,,"As a user, I want to view user documentation for the website, so that I know how to use the web app."
g04-recycling,google-gemini-2.0-flash-001,14,google-gemini-2.0-flash-001_14_1,"Given I am on the address form When I enter ""123"" as the zip code And I click the submit button Then I should see an error message ""Please enter a valid 5-digit zip code.""",Zip Code Validation,Entering an invalid zip code displays an error message,,"As a user, I want to get feedback when I enter an invalid zip code."
g04-recycling,google-gemini-2.0-flash-001,14,google-gemini-2.0-flash-001_14_2,"Given I am on the address form When I enter ""abcde"" as the zip code And I click the submit button Then I should see an error message ""Please enter a valid 5-digit zip code.""",Zip Code Validation,Entering a zip code with letters displays an error message,,"As a user, I want to get feedback when I enter an invalid zip code."
g04-recycling,google-gemini-2.0-flash-001,14,google-gemini-2.0-flash-001_14_3,"Given I am on the address form When I enter ""90210"" as the zip code And I click the submit button Then I should not see an error message ""Please enter a valid 5-digit zip code.""",Zip Code Validation,Entering a valid zip code does not display an error message,,"As a user, I want to get feedback when I enter an invalid zip code."
g04-recycling,google-gemini-2.0-flash-001,14,google-gemini-2.0-flash-001_14_4,"Given I am on the address form When I enter ""123!@"" as the zip code And I click the submit button Then I should see an error message ""Please enter a valid 5-digit zip code.""",Zip Code Validation,Entering a zip code with special characters displays an error message,,"As a user, I want to get feedback when I enter an invalid zip code."
g04-recycling,google-gemini-2.0-flash-001,14,google-gemini-2.0-flash-001_14_5,"Given I am on the address form When I enter ""  1234"" as the zip code And I click the submit button Then I should see an error message ""Please enter a valid 5-digit zip code.""",Zip Code Validation,Entering a zip code with leading spaces displays an error message,,"As a user, I want to get feedback when I enter an invalid zip code."
g04-recycling,google-gemini-2.0-flash-001,15,google-gemini-2.0-flash-001_15_1,"Given I am on the registration page When I enter a valid username ""testuser123"" And I enter a valid email address ""testuser123@example.com"" And I enter a strong password ""Password123!"" And I confirm the password ""Password123!"" And I click the ""Create Account"" button Then I should be redirected to the profile page And a success message should be displayed ""Account created successfully!""",Account Creation,Successful account creation with valid credentials,,"As a user, I want to be able to create an acocunt, so that I can create my own profile."
g04-recycling,google-gemini-2.0-flash-001,15,google-gemini-2.0-flash-001_15_2,"Given I am on the registration page When I enter an existing username ""existinguser"" And I enter a valid email address ""newemail@example.com"" And I enter a strong password ""Password123!"" And I confirm the password ""Password123!"" And I click the ""Create Account"" button Then I should see an error message ""Username already exists"" And I should remain on the registration page",Account Creation,Account creation fails with an existing username,,"As a user, I want to be able to create an acocunt, so that I can create my own profile."
g04-recycling,google-gemini-2.0-flash-001,15,google-gemini-2.0-flash-001_15_3,"Given I am on the registration page When I enter a valid username ""testuser456"" And I enter an invalid email address ""invalidemail"" And I enter a strong password ""Password123!"" And I confirm the password ""Password123!"" And I click the ""Create Account"" button Then I should see an error message ""Invalid email format"" And I should remain on the registration page",Account Creation,Account creation fails with invalid email format,,"As a user, I want to be able to create an acocunt, so that I can create my own profile."
g04-recycling,google-gemini-2.0-flash-001,15,google-gemini-2.0-flash-001_15_4,"Given I am on the registration page When I enter a valid username ""testuser789"" And I enter a valid email address ""testuser789@example.com"" And I enter a strong password ""Password123!"" And I confirm the password ""DifferentPassword"" And I click the ""Create Account"" button Then I should see an error message ""Passwords do not match"" And I should remain on the registration page",Account Creation,Account creation fails with mismatched passwords,,"As a user, I want to be able to create an acocunt, so that I can create my own profile."
g04-recycling,google-gemini-2.0-flash-001,16,google-gemini-2.0-flash-001_16_1,"Given I am logged in as an administrator When I navigate to the ""Manage Recycling Facilities"" page And I click the ""Add Facility"" button Then I should see the ""Add New Recycling Facility"" form When I fill in the form with the following valid data: | [ | [ | ' | N | a | m | e | ' | , |   | ' | A | d | d | r | e | s | s | ' | , |   | ' | C | i | t | y | ' | , |   | ' | S | t | a | t | e | ' | , |   | ' | Z | i | p | ' | , |   | ' | M | a | t | e | r | i | a | l | s |   | A | c | c | e | p | t | e | d | ' | ] | , |   | [ | ' | E | x | a | m | p | l | e |   | R | e | c | y | c | l | i | n | g |   | C | e | n | t | e | r | ' | , |   | ' | 1 | 2 | 3 |   | M | a | i | n |   | S | t | r | e | e | t | ' | , |   | ' | A | n | y | t | o | w | n | ' | , |   | ' | C | A | ' | , |   | ' | 9 | 1 | 2 | 3 | 4 | ' | , |   | ' | P | a | p | e | r | , |   | P | l | a | s | t | i | c | , |   | G | l | a | s | s | ' | ] | ] | And I click the ""Save"" button Then I should see a success message saying ""Recycling Facility added successfully"" And I should see the new facility listed in the facilities table",Manage Recycling Facilities,Add a new recycling facility,,"As an admin, I want to be able to add or remove recycling facilities' information, so that users get the most recent information."
g04-recycling,google-gemini-2.0-flash-001,16,google-gemini-2.0-flash-001_16_2,"Given I am logged in as an administrator And a recycling facility named ""Old Recycling Plant"" exists When I navigate to the ""Manage Recycling Facilities"" page Then I should see the ""Old Recycling Plant"" facility listed in the facilities table When I click the ""Delete"" button for ""Old Recycling Plant"" Then I should see a confirmation dialog asking ""Are you sure you want to delete Old Recycling Plant?"" When I confirm the deletion Then I should see a success message saying ""Recycling Facility deleted successfully"" And I should not see ""Old Recycling Plant"" listed in the facilities table",Manage Recycling Facilities,Remove an existing recycling facility,,"As an admin, I want to be able to add or remove recycling facilities' information, so that users get the most recent information."
