model,app_id,us_id,feature_name,feature_description,scenario_name,scenario_description,scenario_examples,step_keyword_type,us_text,scenario_id,flat_step,step_id
google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Clicking the address link does not close the current tab,,,Outcome,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",google-gemini-2.0-flash-001_1_3,Then the original tab should still be open,google-gemini-2.0-flash-001_1_3_3
google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Address link uses the correct HTML attribute to open in a new tab,,,Context,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",google-gemini-2.0-flash-001_1_4,Given I am on the website,google-gemini-2.0-flash-001_1_4_1
google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Address link uses the correct HTML attribute to open in a new tab,,,Outcome,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",google-gemini-2.0-flash-001_1_4,"Then the address link should have the attribute ""target"" with value ""_blank""",google-gemini-2.0-flash-001_1_4_2
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",User views the map and sees nearby drop-off sites,,,Context,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_1,Given I am on the special waste drop-off site map page,google-gemini-2.0-flash-001_10_1_1
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",User views the map and sees nearby drop-off sites,,,Action,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_1,When the map is loaded,google-gemini-2.0-flash-001_10_1_2
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",User views the map and sees nearby drop-off sites,,,Outcome,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_1,Then I should see a map centered around my current location,google-gemini-2.0-flash-001_10_1_3
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",User views the map and sees nearby drop-off sites,,,Conjunction,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_1,And I should see markers indicating nearby special waste drop-off sites,google-gemini-2.0-flash-001_10_1_4
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",User zooms out and sees more distant drop-off sites,,,Context,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_2,Given I am on the special waste drop-off site map page,google-gemini-2.0-flash-001_10_2_1
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",User zooms out and sees more distant drop-off sites,,,Action,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_2,When the map is loaded,google-gemini-2.0-flash-001_10_2_2
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",User zooms out and sees more distant drop-off sites,,,Conjunction,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_2,And I zoom out on the map,google-gemini-2.0-flash-001_10_2_3
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",User zooms out and sees more distant drop-off sites,,,Outcome,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_2,Then I should see more drop-off site markers as the map area expands,google-gemini-2.0-flash-001_10_2_4
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",User clicks on a drop-off site marker and sees details,,,Context,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_3,Given I am on the special waste drop-off site map page,google-gemini-2.0-flash-001_10_3_1
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",User clicks on a drop-off site marker and sees details,,,Action,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_3,When the map is loaded,google-gemini-2.0-flash-001_10_3_2
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",User clicks on a drop-off site marker and sees details,,,Conjunction,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_3,And I click on a drop-off site marker,google-gemini-2.0-flash-001_10_3_3
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",User clicks on a drop-off site marker and sees details,,,Outcome,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_3,Then I should see a pop-up window with details about the site,google-gemini-2.0-flash-001_10_3_4
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",User clicks on a drop-off site marker and sees details,,,Conjunction,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_3,"And the details should include the site name, address, and accepted materials",google-gemini-2.0-flash-001_10_3_5
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",User searches for a specific address and sees drop-off sites near that location,,,Context,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_4,Given I am on the special waste drop-off site map page,google-gemini-2.0-flash-001_10_4_1
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",User searches for a specific address and sees drop-off sites near that location,,,Action,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_4,When I enter a specific address in the search bar,google-gemini-2.0-flash-001_10_4_2
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",User searches for a specific address and sees drop-off sites near that location,,,Conjunction,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_4,And I submit the search,google-gemini-2.0-flash-001_10_4_3
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",User searches for a specific address and sees drop-off sites near that location,,,Outcome,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_4,Then the map should center on the searched address,google-gemini-2.0-flash-001_10_4_4
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",User searches for a specific address and sees drop-off sites near that location,,,Conjunction,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_4,And I should see markers indicating special waste drop-off sites near that address,google-gemini-2.0-flash-001_10_4_5
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",No drop-off sites are available in the immediate area,,,Context,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_5,Given I am on the special waste drop-off site map page,google-gemini-2.0-flash-001_10_5_1
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",No drop-off sites are available in the immediate area,,,Action,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_5,When the map is loaded in an area with no drop-off sites,google-gemini-2.0-flash-001_10_5_2
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",No drop-off sites are available in the immediate area,,,Outcome,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_5,Then I should see a message indicating no drop-off sites are nearby,google-gemini-2.0-flash-001_10_5_3
google-gemini-2.0-flash-001,g04-recycling,10,Special Waste Drop-off Site Map,"As a user, I want to be able to view a map display of the special waste drop-off sites around my area.",No drop-off sites are available in the immediate area,,,Conjunction,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.",google-gemini-2.0-flash-001_10_5,And I should see a suggestion to zoom out or search in other areas,google-gemini-2.0-flash-001_10_5_4
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",View events in my current location,,,Context,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_1,Given I am on the homepage,google-gemini-2.0-flash-001_11_1_1
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",View events in my current location,,,Action,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_1,When I allow the application to access my location,google-gemini-2.0-flash-001_11_1_2
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",View events in my current location,,,Outcome,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_1,Then I should see a list of safe disposal events near my current location,google-gemini-2.0-flash-001_11_1_3
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",View events in my current location,,,Conjunction,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_1,"And each event should display its name, date, time, and address",google-gemini-2.0-flash-001_11_1_4
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Filter events by waste type,,,Context,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_2,Given I am viewing the list of safe disposal events,google-gemini-2.0-flash-001_11_2_1
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Filter events by waste type,,,Action,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_2,"When I select ""Electronics"" as the waste type filter",google-gemini-2.0-flash-001_11_2_2
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Filter events by waste type,,,Outcome,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_2,Then I should only see events that accept electronics for disposal,google-gemini-2.0-flash-001_11_2_3
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",No events found in my area,,,Context,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_3,Given I am on the homepage,google-gemini-2.0-flash-001_11_3_1
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",No events found in my area,,,Action,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_3,When I allow the application to access my location,google-gemini-2.0-flash-001_11_3_2
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",No events found in my area,,,Conjunction,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_3,And there are no safe disposal events currently scheduled near my location,google-gemini-2.0-flash-001_11_3_3
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",No events found in my area,,,Outcome,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_3,Then I should see a message indicating that no events were found in my area,google-gemini-2.0-flash-001_11_3_4
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",View event details,,,Context,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_4,Given I am viewing the list of safe disposal events,google-gemini-2.0-flash-001_11_4_1
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",View event details,,,Action,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_4,When I click on an event,google-gemini-2.0-flash-001_11_4_2
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",View event details,,,Outcome,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_4,Then I should be taken to the event details page,google-gemini-2.0-flash-001_11_4_3
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",View event details,,,Conjunction,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_4,"And I should see the event's full description, accepted waste types, and organizer contact information",google-gemini-2.0-flash-001_11_4_4
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Search for events by address,,,Context,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_5,Given I am on the homepage,google-gemini-2.0-flash-001_11_5_1
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Search for events by address,,,Action,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_5,When I enter an address into the search bar,google-gemini-2.0-flash-001_11_5_2
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Search for events by address,,,Conjunction,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_5,"And I click the ""Search"" button",google-gemini-2.0-flash-001_11_5_3
google-gemini-2.0-flash-001,g04-recycling,11,View Safe Disposal Events,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",Search for events by address,,,Outcome,"As a user, I want to be able to view the safe disposal events currently being organised around my area.",google-gemini-2.0-flash-001_11_5,Then I should see a list of safe disposal events near the entered address,google-gemini-2.0-flash-001_11_5_4
google-gemini-2.0-flash-001,g04-recycling,12,Flexible Pickup Time Selection,"As a user
  I want to choose a flexible pick up time
  So that I can more conveniently use the website",Selecting a pickup time within the available range,,,Context,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",google-gemini-2.0-flash-001_12_1,Given I am on the order placement page,google-gemini-2.0-flash-001_12_1_1
google-gemini-2.0-flash-001,g04-recycling,12,Flexible Pickup Time Selection,"As a user
  I want to choose a flexible pick up time
  So that I can more conveniently use the website",Selecting a pickup time within the available range,,,Action,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",google-gemini-2.0-flash-001_12_1,"When I select a pickup date of ""Tomorrow""",google-gemini-2.0-flash-001_12_1_2
google-gemini-2.0-flash-001,g04-recycling,12,Flexible Pickup Time Selection,"As a user
  I want to choose a flexible pick up time
  So that I can more conveniently use the website",Selecting a pickup time within the available range,,,Conjunction,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",google-gemini-2.0-flash-001_12_1,"And I select a pickup time of ""10:30 AM""",google-gemini-2.0-flash-001_12_1_3
google-gemini-2.0-flash-001,g04-recycling,12,Flexible Pickup Time Selection,"As a user
  I want to choose a flexible pick up time
  So that I can more conveniently use the website",Selecting a pickup time within the available range,,,Outcome,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",google-gemini-2.0-flash-001_12_1,Then the system should confirm the selected pickup time is valid,google-gemini-2.0-flash-001_12_1_4
google-gemini-2.0-flash-001,g04-recycling,12,Flexible Pickup Time Selection,"As a user
  I want to choose a flexible pick up time
  So that I can more conveniently use the website",Selecting a pickup time within the available range,,,Conjunction,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",google-gemini-2.0-flash-001_12_1,And the pickup time should be displayed in the order summary,google-gemini-2.0-flash-001_12_1_5
google-gemini-2.0-flash-001,g04-recycling,12,Flexible Pickup Time Selection,"As a user
  I want to choose a flexible pick up time
  So that I can more conveniently use the website",Selecting a pickup time outside the available range,,,Context,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",google-gemini-2.0-flash-001_12_2,Given I am on the order placement page,google-gemini-2.0-flash-001_12_2_1
google-gemini-2.0-flash-001,g04-recycling,12,Flexible Pickup Time Selection,"As a user
  I want to choose a flexible pick up time
  So that I can more conveniently use the website",Selecting a pickup time outside the available range,,,Action,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",google-gemini-2.0-flash-001_12_2,"When I select a pickup date of ""Today""",google-gemini-2.0-flash-001_12_2_2
google-gemini-2.0-flash-001,g04-recycling,12,Flexible Pickup Time Selection,"As a user
  I want to choose a flexible pick up time
  So that I can more conveniently use the website",Selecting a pickup time outside the available range,,,Conjunction,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",google-gemini-2.0-flash-001_12_2,"And I select a pickup time of ""8:00 AM"" which is before the opening time",google-gemini-2.0-flash-001_12_2_3
google-gemini-2.0-flash-001,g04-recycling,12,Flexible Pickup Time Selection,"As a user
  I want to choose a flexible pick up time
  So that I can more conveniently use the website",Selecting a pickup time outside the available range,,,Outcome,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",google-gemini-2.0-flash-001_12_2,"Then the system should display an error message ""Pickup time is outside the available range""",google-gemini-2.0-flash-001_12_2_4
google-gemini-2.0-flash-001,g04-recycling,12,Flexible Pickup Time Selection,"As a user
  I want to choose a flexible pick up time
  So that I can more conveniently use the website",Selecting a pickup time outside the available range,,,Conjunction,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",google-gemini-2.0-flash-001_12_2,And I should be prompted to select a different time,google-gemini-2.0-flash-001_12_2_5
google-gemini-2.0-flash-001,g04-recycling,12,Flexible Pickup Time Selection,"As a user
  I want to choose a flexible pick up time
  So that I can more conveniently use the website",Selecting a pickup time on a closed day,,,Context,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",google-gemini-2.0-flash-001_12_3,Given I am on the order placement page,google-gemini-2.0-flash-001_12_3_1
google-gemini-2.0-flash-001,g04-recycling,12,Flexible Pickup Time Selection,"As a user
  I want to choose a flexible pick up time
  So that I can more conveniently use the website",Selecting a pickup time on a closed day,,,Action,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",google-gemini-2.0-flash-001_12_3,"When I select a pickup date of ""Sunday"" which is a closed day",google-gemini-2.0-flash-001_12_3_2
google-gemini-2.0-flash-001,g04-recycling,12,Flexible Pickup Time Selection,"As a user
  I want to choose a flexible pick up time
  So that I can more conveniently use the website",Selecting a pickup time on a closed day,,,Outcome,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",google-gemini-2.0-flash-001_12_3,"Then the system should display an error message ""Pickup is not available on this day""",google-gemini-2.0-flash-001_12_3_3
google-gemini-2.0-flash-001,g04-recycling,12,Flexible Pickup Time Selection,"As a user
  I want to choose a flexible pick up time
  So that I can more conveniently use the website",Selecting a pickup time on a closed day,,,Conjunction,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",google-gemini-2.0-flash-001_12_3,And I should be prompted to select a different date,google-gemini-2.0-flash-001_12_3_4
google-gemini-2.0-flash-001,g04-recycling,12,Flexible Pickup Time Selection,"As a user
  I want to choose a flexible pick up time
  So that I can more conveniently use the website",Changing the pickup time after initial selection,,,Context,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",google-gemini-2.0-flash-001_12_4,Given I am on the order placement page,google-gemini-2.0-flash-001_12_4_1
google-gemini-2.0-flash-001,g04-recycling,12,Flexible Pickup Time Selection,"As a user
  I want to choose a flexible pick up time
  So that I can more conveniently use the website",Changing the pickup time after initial selection,,,Conjunction,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",google-gemini-2.0-flash-001_12_4,"And I have already selected a pickup time of ""11:00 AM"" for ""Tomorrow""",google-gemini-2.0-flash-001_12_4_2
google-gemini-2.0-flash-001,g04-recycling,12,Flexible Pickup Time Selection,"As a user
  I want to choose a flexible pick up time
  So that I can more conveniently use the website",Changing the pickup time after initial selection,,,Action,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",google-gemini-2.0-flash-001_12_4,"When I change the pickup time to ""1:00 PM""",google-gemini-2.0-flash-001_12_4_3
google-gemini-2.0-flash-001,g04-recycling,12,Flexible Pickup Time Selection,"As a user
  I want to choose a flexible pick up time
  So that I can more conveniently use the website",Changing the pickup time after initial selection,,,Outcome,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.",google-gemini-2.0-flash-001_12_4,"Then the system should update the pickup time in the order summary to ""1:00 PM"" for ""Tomorrow""",google-gemini-2.0-flash-001_12_4_4
google-gemini-2.0-flash-001,g04-recycling,13,User Documentation,"As a user, I want to view user documentation for the website, 
  so that I know how to use the web app.",Accessing the User Documentation from the Homepage,,,Context,"As a user, I want to view user documentation for the website, so that I know how to use the web app.",google-gemini-2.0-flash-001_13_1,Given I am on the homepage,google-gemini-2.0-flash-001_13_1_1
google-gemini-2.0-flash-001,g04-recycling,13,User Documentation,"As a user, I want to view user documentation for the website, 
  so that I know how to use the web app.",Accessing the User Documentation from the Homepage,,,Action,"As a user, I want to view user documentation for the website, so that I know how to use the web app.",google-gemini-2.0-flash-001_13_1,"When I click on the ""Help"" link in the navigation bar",google-gemini-2.0-flash-001_13_1_2
google-gemini-2.0-flash-001,g04-recycling,13,User Documentation,"As a user, I want to view user documentation for the website, 
  so that I know how to use the web app.",Accessing the User Documentation from the Homepage,,,Outcome,"As a user, I want to view user documentation for the website, so that I know how to use the web app.",google-gemini-2.0-flash-001_13_1,Then I should be redirected to the documentation page,google-gemini-2.0-flash-001_13_1_3
google-gemini-2.0-flash-001,g04-recycling,13,User Documentation,"As a user, I want to view user documentation for the website, 
  so that I know how to use the web app.",Accessing the User Documentation from the Homepage,,,Conjunction,"As a user, I want to view user documentation for the website, so that I know how to use the web app.",google-gemini-2.0-flash-001_13_1,"And I should see the documentation title ""User Guide""",google-gemini-2.0-flash-001_13_1_4
google-gemini-2.0-flash-001,g04-recycling,13,User Documentation,"As a user, I want to view user documentation for the website, 
  so that I know how to use the web app.",Searching for a specific topic in the Documentation,,,Context,"As a user, I want to view user documentation for the website, so that I know how to use the web app.",google-gemini-2.0-flash-001_13_2,Given I am on the documentation page,google-gemini-2.0-flash-001_13_2_1
google-gemini-2.0-flash-001,g04-recycling,13,User Documentation,"As a user, I want to view user documentation for the website, 
  so that I know how to use the web app.",Searching for a specific topic in the Documentation,,,Action,"As a user, I want to view user documentation for the website, so that I know how to use the web app.",google-gemini-2.0-flash-001_13_2,"When I enter ""account settings"" in the search bar",google-gemini-2.0-flash-001_13_2_2
google-gemini-2.0-flash-001,g04-recycling,13,User Documentation,"As a user, I want to view user documentation for the website, 
  so that I know how to use the web app.",Searching for a specific topic in the Documentation,,,Conjunction,"As a user, I want to view user documentation for the website, so that I know how to use the web app.",google-gemini-2.0-flash-001_13_2,And I press Enter,google-gemini-2.0-flash-001_13_2_3
google-gemini-2.0-flash-001,g04-recycling,13,User Documentation,"As a user, I want to view user documentation for the website, 
  so that I know how to use the web app.",Searching for a specific topic in the Documentation,,,Outcome,"As a user, I want to view user documentation for the website, so that I know how to use the web app.",google-gemini-2.0-flash-001_13_2,"Then I should see search results related to ""account settings""",google-gemini-2.0-flash-001_13_2_4
google-gemini-2.0-flash-001,g04-recycling,13,User Documentation,"As a user, I want to view user documentation for the website, 
  so that I know how to use the web app.",Searching for a specific topic in the Documentation,,,Conjunction,"As a user, I want to view user documentation for the website, so that I know how to use the web app.",google-gemini-2.0-flash-001_13_2,"And the first result should contain the phrase ""managing your account""",google-gemini-2.0-flash-001_13_2_5
